1	他离开克雷姆斯多久了？	克雷姆斯的粮秣够吗？
1	有一次邂逅相逢的时候，不知阿尔培是故意的还是无意的，他的面具掉了下来。	有一次邂逅的时候，不知阿尔贝是故意的还是无意的，他的面具掉了下来。
0	阿尔卡季帕夫雷奇，用他的话来说，有机会时喜欢享受一下，便带上大量内衣、食物、衣服、香水、靠塾和各种各样的化妆品，这些衣物对一个克勤克俭的德国人来说，足够用上一年了。	阿尔卡季巴甫勒奇，像他自己所说，喜欢乘机享乐一下，他携带了无数的衬衫裤、食物、饮料、香水、枕垫以及各种化妆用品箱，这些物资在某些俭朴自持的德国人足够一年之用呢。
1	我丈夫知礼善让的名声从此就传了开来，每次出门都会有孩子围观。	就这样，我丈夫谦逊礼让的名声就传开了，孩子们也经常在街上纠缠他。
0	吉斯米怀人的兴趣问。	吉斯米怀着迷人的兴趣问。
1	早晨他有时喝完咖啡，就坐下来写论文或者查阅资料，但多半是既不读书也不写作，又走到户外，到田野和树林里散步。	每天早晨，喝过咖啡之后，他有时坐下来写论文或翻阅有关资料，但更多的时候不是读书和写作，而是又一次走到户外，在田野和森林中漫步。
1	他细心地把斧头套在大衣里面的环扣里。	他仔细地把斧头挂在外套里面的环圈里。
0	他讲得很详细，有时累了就停下来休息下，使人感到这位老人连最微小的事情都记得很清楚，就像他把它们已经铭刻在石碑上一样。	有时候他停下来喘口气，由于他讲述得详细，然而所有的人都能感到，他己经深深地记住每一个详尽的细节，就如有东西曾在石头上凿下一样。
1	阿列克山得拉巴夫洛夫娜说，我什么都不明白；我看，您是在跟我开玩笑天晓得，我决不是开玩笑我告诉您，他要走了，甚至还写了信通知熟人呢。	亚历山德拉帕夫洛夫娜幵始说，我一点也不明白；大概，您是在嘲笑我，我实实在在不是告诉您，他要走了，甚至还写信通知友好呢。
0	代表们不断乘着电车和汽车赶来，门口挤得水泄不通。	代表们乘坐电车、汽车陆续来到会场。
0	保尔已经记不清楚当时他是怎样一下子就冲到法伊洛跟前。	保尔不记得是怎么一下子冲到法伊洛跟前的。
1	她心中的这个创伤，我券然是在婚后才逐渐捉摸到的。	关于这个创伤的存在，我当然是在结婚之后才猜测到的。
0	他的头发，即使让那头母牛在杰克盖的房子里用弯曲的牛角篦过，也不会比此时挺得更直了。	他怒发直竖，即使当时那条母牛在杰克盖的那幢房子里用弯扭的角把它梳过，也不过如此。
1	然而，如果仔细分辨这千头万绪的网络，还是能看出大学城和新城各有一束宽阔的大街，犹如两束鲜花，从各座桥向各个城门纷纷开放。	然而，只要留神观察，从这难以辨认的网络图中还可以清楚看出两束大街，一束在大学城，另一束在新城，就象两束鲜花，从各座桥到每座城门竞相开放。
0	圣热尔韦棱堡，达德尼昂答道，拉罗谢尔的部队经常在这座棱堡里骚扰我们的人。	圣热尔韦棱堡，达尔大尼央回答说，拉罗舍尔人在这座棱堡掩护下骚扰我们的工人。
1	六不得民心上文说过，圣母院周围的士绅庶众，不大喜欢主教代理和敲钟人。	六不负众望我们前面已说过，副主教和敲钟人在圣母院周围大大小小百姓当中是很不得人喜欢的。
1	看她把腰带扎得靠上，就知道她好久没有来巴黎了。	从她把腰带高束在臀部之上的样子来看，她很久没到巴黎来了。
1	但是，一句话，你打算怎么办？	您究竟打算怎么办？
